故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
硬件,飞箱,其它,飞箱101088故障,"XZ移动错误:不在预备位置或载箱位置Y=576.200012,R=311.299988",电机没有执行到位,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,飞箱101088故障,"XZ移动错误:不在预备位置或载箱位置Y=576.200012,R=311.299988",电机没有执行到位,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,飞箱101063故障,"XZ移动错误:不在预备位置或载箱位置Y=573.200012,R=311.200012",电机没有执行到位,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,飞箱101063故障,"XZ移动错误:不在预备位置或载箱位置Y=573.200012,R=311.200012",电机没有执行到位,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,飞箱,其它,飞箱101054停止不动,飞箱101054停止不动,飞箱停止不动，查看飞箱电压比较低，没有在充电,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,扫码台相机,,右侧相机无法识别,右侧相机192.168.3.121无法使用，ping也不通,未知,"1.检查PC防火墙是否开启
-是：关闭防火墙
-否：进入步骤2
2.检查PC与大华相机网络连接是否正常 
-是：进入步骤3
-否：修复网络连接（检查网线等）
3.可能是大华相机本身问题，如有条件可与现场另一台大华对调，对调后新大华正常
-是：大华相机问题（建议联系专业售后技术人员）
-否：网络问题（建议联系专业售后技术人员）",
硬件,飞箱,TOF25,101059飞箱拉箱失败,101059飞箱拉箱失败；报警tof8等待测量结果失败:25,怀疑tof需要重启,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,扫码台相机,,相机灯光闪烁,相机灯光闪烁，断电重启后会恢复一下,电源适配器的问题，电压不稳定,"1.大概率是由于电压不稳定造成，更换电源适配器是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,分拣机,3号电机,分拣机卡住,分拣机卡住不动,未知,"1.检查LED屏幕是否有报错
  -有：电机报错，检查电机和连接线，网络报错：检查网络和交换机，电机过载：检查是否有东西阻止分拣机运动、皮带是否松动等
  -无：进入步骤2
2.检查是否有电源输入
  -有：进入步骤3
  -无：检查电源和电梯板
3.重启分拣机回零是否解决问题
  -是：问题解决
  -否：建议联系专业的售后技术支持人员获取帮助",
硬件,分拣机,其它,分拣机离线,分拣机离线无法识别网口，网口灯不亮，插拔没效果,怀疑黄色的网线损坏无法使用,"1、尝试IP是否可以ping通
-是：进入步骤2
-否：进入步骤3


2.网络重置
-是否恢复？
-是：问题解决
-否：进入步骤2

3.打开电控箱，检查交换机板上的网口灯是否正常亮起
   否：如果交换机都不亮则更换交换机板，如果就当前网口不正常尝试更换网口
   是：建议联系专业的售后技术支持人员获取帮助",
硬件,飞箱,其它,飞箱定位失效,请解决：飞箱101062故障。问题：定位失效。请恢复飞箱后点击已解决,未知，已读取日志并联系肖侠驹帮忙检查。,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,扫码台相机,,扫码软件显示相机失去连接,希音巴西3D：D仓第1套下层主扫码台，两个相机失去连接无相机画面,未知,"1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
硬件,机器人,BMSP板,机器人运行过程中会突然关机,机器人运行过程中会突然显示关机，RCS界面显示关机，AP界面显示unpesfe，RCS列表页面显示未知状态，调整过信道，AP功率从100调整到了120，更换过无线模块，现在问题依然存在,猜测是BMSP板的问题,"1.单个机器人还是所有机器人
  -单个机器人进入步骤4
  -所有机器人进入步骤2
2.按照Ctrl检查AP是否在线
  -是：进入步骤3
  -否：进入AP离线操作处理流程指引
3.检查信道是否使用的是干净的信道
  -是：建议联系专业的售后技术人员查看
  -否：修改为干净信道，把所有机器人关机退出软件，并删除rcs目录下的信道文件，然后重新打开rcs并开机

4. 使用万用表测量机器人充电极板的电压
- 低于3V：进入步骤6
- 低于4V：进入步骤5
- 高于4V：进入步骤8
- 测不出电压：进入步骤7

5. 手动充电
- 进行手动充电，5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤7

6. 按照视频指引激活电池，并进行充电
- 充电5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤7

7. 测不出电压表明电池可能损坏，尝试更换电池
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤8

8. 检查电池连接线是否有松动，尝试重新插拔
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤9

9. 观察电池传感器板是否有损坏，尝试更换传感器板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤10

10. 观察电源板是否有损坏，尝试更换电源板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤11

11. 尝试更换BMSP板
- 观察是否能开机
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助
",
硬件,机器人,BMSP板,机器人跑着跑着就关机了,机器人运行过程中会突然显示关机，RCS界面显示关机，AP界面显示unpesfe，RCS列表页面显示未知状态，调整过信道，AP功率从100调整到了120，更换过无线模块，现在问题依然存在,猜测是BMSP板的问题,"1.单个机器人还是所有机器人
  -单个机器人进入步骤4
  -所有机器人进入步骤2
2.按照Ctrl检查AP是否在线
  -是：进入步骤3
  -否：进入AP离线操作处理流程指引
3.检查信道是否使用的是干净的信道
  -是：建议联系专业的售后技术人员查看
  -否：修改为干净信道，把所有机器人关机退出软件，并删除rcs目录下的信道文件，然后重新打开rcs并开机

4. 使用万用表测量机器人充电极板的电压
- 低于3V：进入步骤6
- 低于4V：进入步骤5
- 高于4V：进入步骤8
- 测不出电压：进入步骤7

5. 手动充电
- 进行手动充电，5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤7

6. 按照视频指引激活电池，并进行充电
- 充电5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤7

7. 测不出电压表明电池可能损坏，尝试更换电池
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤8

8. 检查电池连接线是否有松动，尝试重新插拔
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤9

9. 观察电池传感器板是否有损坏，尝试更换传感器板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤10

10. 观察电源板是否有损坏，尝试更换电源板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤11

11. 尝试更换BMSP板
- 观察是否能开机
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助
",
硬件,分拣机,其它,所有分拣机亮黄灯,B4-4在3月12日分拣波次ID2503120029到99%时，完成波次后分拣机全亮黄灯.,"北美希音WES特殊需求：波次的订单会有短捡标记（拣货时缺件），当短捡标记的订单集中分配在一起，如果满墙后，这个货架上有短捡的订单，就亮黄灯，现场可以拉走相应货架正常处理。
ID2503120029：一共261个订单，其中251个订单有短捡标记，所以当时全部货架才会亮起黄灯。",分拣机亮黄灯表示波次强制结束，货架缺件完成，走正常流程即可,
硬件,飞箱,其它,飞箱101062定位失效,飞箱101062定位失效,未知,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱定位丢失,飞箱定位丢失,飞箱定位丢失,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,机器人,翻板电机,小车翻板翻起后未自动落下,现场反馈有一台机器人处于暂停状态并且翻板一直抬起,未知,"1.关机重启是否恢复
  -是：问题解决
  -否：进入步骤2
2.手动翻板是否能恢复
  -是：加入运行继续观察
  -否：进入步骤3
3.根据翻板翻过头视频操作指引进行，是否恢复
  -是：问题解决
  -否：进入步骤4
4.根据注册电机视频进行注册电机是否恢复
  -是：问题解决
  -否：进入步骤5
5.打开机器人盖子拔掉左右轮子电机线，打开磁条图电机高级再点击零位校准是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
,,,机器人翻板卡了,,,"1.关机重启是否恢复
  -是：问题解决
  -否：进入步骤2
2.手动翻板是否能恢复
  -是：加入运行继续观察
  -否：进入步骤3
3.根据翻板翻过头视频操作指引进行，是否恢复
  -是：问题解决
  -否：进入步骤4
4.根据注册电机视频进行注册电机是否恢复
  -是：问题解决
  -否：进入步骤5
5.打开机器人盖子拔掉左右轮子电机线，打开磁条图电机高级再点击零位校准是否恢复
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,飞箱,其它,飞箱:101062 故障。问题:定位失效,飞箱:101062 故障。问题:定位失效,拉箱导致定位失效,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱:101062 故障。问题:定位失效请恢复飞箱后点击已解决,飞箱:101062 故障。问题:定位失效,拉箱失败导致定位失效,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,扫码台相机,,扫码台没有提示音,扫码台左边扫码后没有提示音,1脚信号传输坏了,"更具以下操作指引进行操作
1.找到这个相机绿色插头把1脚的接线端子换接到5脚
2.打开SVS软件的配置改成 光耦输出4，脉冲宽度15ms。
1脚对应软件光耦输出3，5脚对应光耦输出4。",
,,,相机没有提示音,,,"更具以下操作指引进行操作
1.找到这个相机绿色插头把1脚的接线端子换接到5脚
2.打开SVS软件的配置改成 光耦输出4，脉冲宽度15ms。
1脚对应软件光耦输出3，5脚对应光耦输出4。",
,,,相机没有响声,,,"更具以下操作指引进行操作
1.找到这个相机绿色插头把1脚的接线端子换接到5脚
2.打开SVS软件的配置改成 光耦输出4，脉冲宽度15ms。
1脚对应软件光耦输出3，5脚对应光耦输出4。",
硬件,飞箱,其它,报警界面显示飞箱101012定位失效,：报警界面显示飞箱定位失效；飞箱操作界面，提示拉箱失败抓钩脱钩；处理：重新定位飞箱，终止启动，飞箱继续拉箱的时候又弹出定位失效，之后还未操作，飞箱第二次拉箱成功，且正常运行。报警弹窗依在。,未知,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱:101041 故障。问题:定位失效,飞箱:101041 故障。问题:定位失效,未知,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱101031出现定位失效,飞箱101031操作界面报警多次推箱失败，之后出现飞箱定位失效,未知,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,飞箱,其它,飞箱定位失效,101021飞箱定位失效,未知，读取日志反馈研发·,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
硬件,机器人,其它,197003小车在RCS上面显示被手动暂停,197003小车在RCS上面显示被手动暂停,可能是小车在行驶过程中，碰到了暂停键,"机器人颜色变成灰色表示被手动暂停，根据以下操作指示操作
1.在RCS上打开磁条图点击“go 1""或在机器人上按A按钮",
,,,机器人变成灰色了,,,"机器人颜色变成灰色表示被手动暂停，根据以下操作指示操作
1.在RCS上打开磁条图点击“go 1""或在机器人上按A按钮",
硬件,分拣机,其它,分拣机显示待机状态,美国希音印仓第二套第25个分拣机没有网络，显示待机状态,网络波动导致,"1.检查WCS软件是否打开
  -是：进入步骤2
  -否：打开WCS软件
2.根据分拣机离线操作流程指引排查",
硬件,机器人,翻板电机,翻板没有合上,214160小车翻板没有完整合上翻板，手动翻板能恢复，再次分拣翻板就依然没有合上,未知,"1.尝试点击C按钮直到AC按钮在闪，然后点一下A按钮再点一下B按钮，再次翻板是否恢复
  -是：问题解决
  -否：进入步骤2
2.根据注册电机视频尝试是否恢复正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
,,,翻板没有回到底,,,"1.尝试点击C按钮直到AC按钮在闪，然后点一下A按钮再点一下B按钮，再次翻板是否恢复
  -是：问题解决
  -否：进入步骤2
2.根据注册电机视频尝试是否恢复正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
,,,翻板没有完全回来,,,"1.尝试点击C按钮直到AC按钮在闪，然后点一下A按钮再点一下B按钮，再次翻板是否恢复
  -是：问题解决
  -否：进入步骤2
2.根据注册电机视频尝试是否恢复正常
  -是：问题解决
  -否：联系专业的售后技术人员处理",
硬件,飞箱,其它,飞箱定位失效,飞箱定位失效导致撞车,未知，反馈研发,"1、提供弹窗信息和读取飞箱日志。

2、检查是否因“Z轴卡住”报错导致的定位丢失。
-是：查找Z轴卡住的原因并解决，部分情况可以通过“终止任务”“启动任务”按钮恢复。
-否：进入步骤3

3、检查是否电压过低或充不上电导致的定位丢失。
-是：需要检查电源板和触点是否正常，具体检查方法可以联系售后人员协助。
-否：进入步骤4

4、检查雷达线是否松动，雷达支架是否变形。
-是：插拔雷达线，调整雷达支架。
-否：进入步骤5

5、检查X轴是否有异物卡住轮子。
-是:清理异物。
-否：联系售后人员。",
370,飞箱,触点,飞箱没电导致场地机器人大面积没电,2025年2月20日韩国时间9：14分（中国时间8：14分），客户反馈RCS停止，无法开始作业；上线实际现象：106006飞箱离线没电，堵着小车；多台小车电压低于百分之20。恢复后排查到这一台飞箱前19号就已经出现问题了,飞箱没电导致小车没电,"1、检查触点模块线束是否有松动。
-是：重新插拔线束。
-否：进入步骤2

2、检查充电触点与铜线的接触面是否脱落或磨损异常。
-是：更换触点。
-否：进入步骤3

3、用万用表量电源板红色和黑色5芯接插件是否有电。
-是：如果有电则需检查铜线是否脏污或异常磨损。
-否：联系售后人员",
硬件,扫码台相机,,相机故障,ss004相机扫描无反应,"1.相机松动
2.相机曝光严重（光圈被调整）
3.焦距不对","请提供具体故障现象
（根据客户所提供的故障现象进行输出操作指引）",
硬件,飞箱,9号电机,106009飞箱9号电机堵转,106009飞箱报警弹窗,106009飞箱推箱到地面车报9号电机故障，推箱未到位，可能是料箱内物品太重或不均匀导致,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。",
硬件,飞箱,TOF23,CJ飞箱远程处理,106001飞箱报警弹窗,此飞箱23号TOF脏污，导致推箱失败,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",
硬件,分拣机,1号电机,1号电机异响,16号机：1号电机运行时有明显异响,未知，可能是电机轴跟联轴器没有安装好,1.拆开1号电机和联轴器并重新安装,
硬件,分拣机,电梯板,分拣机反复重启,分拣机反复重启,电梯板坏了，电梯板里面电容有一组坏了，瞬间电压不够关机,请更换换电梯板,
,,,分拣机重复开关机,,,请更换换电梯板,
硬件,机器人,BMSP板,机器人报警24伏输出过电流,机器人报警24伏输出过电流，机器人爆红,BMSP板有问题,根据报错信息24V过电流操作流程进行指引,
,,,24伏输出过电流,,,根据报错信息24V过电流操作流程进行指引,
