问题提出时间,问题描述,解决过程,解决过程.1
2025-03-24 13:39:00,客户询问新采购的满载传感器固件版本为313与版本310的区别，并希望能够提供313版本的固件文件。,1. 客服（安稳）确认将进行检查。2. 客服告知313版本增加了传感器数据过滤模式，以解决灯条对射误检和盲区检测不到的问题，默认关闭信号过滤模式，使用原来的处理方式，可通过316配置开启。3. 客服表示会发送313文件。,
2025-03-27 17:19:00,RCS日志中短时间内连续记录相同AGV的到达通知，客户询问此RCS行为是否正常。,1. 客服（陈振林）认为不正常，但怀疑是发送请求未收到回复导致重复发送。2. 客户共享日志。3. 客服（倪里特）解释RCS开启了提前报告到达通知功能，因此发送两次到达是正确的，即准备进入Induction时发送一次，到达Induction时再发送一次。4. 客户询问是否会增加WES通信负荷，倪里特表示需询问WES软件工程师。5. 客户询问事前到着通知功能是否默认关闭，倪里特确认默认关闭，并建议客户可以将其关闭。,
2025-03-27 17:52:00,当前站点偶发AGV在未载货、托盘为空的状态下开始行驶。客户怀疑此问题可能与WES处理时机错位有关。,1. 客户提供了发生空发车现象的WES编号和大致时间点。2. 客服（倪里特）要求查看视频。3. 倪里特客服检查RCS日志，未发现问题，虽然是空车出发，但收到了WES的发车指令。4. 倪里特进一步指出AGV 187209在未到达Induction时就收到了发车指令。,
2025-04-01 11:16:00,AGV 96011与RCS通信中断，RCS界面显示其进行方向转换等动作，但实际静止，导致后继AGV碰撞。,1. 客服（Jacky）要求远程连接。2. 客户提供TVID。3. 客户解释视频显示动作但实际静止，且已发生碰撞，请求解除急停。4. 客服要求拍摄96110视频，客户询问放置位置，客服要求放置在地毯中央。5. 客户将两台AGV都按下急停。6. 客服要求注册电机，客户完成。7. 客户报告96011仍未动。8. 客服要求将96110放到地毯中央。9. 客户执行。10. 客服要求从RCS中移除141249。11. 客户移除。12. 客服要求更换96110的霍尔板。13. 客户更换霍尔板后，位置信息仍不明，磁力线图能读取RFID，于是决定更换BMSP和主板。14. Jacky客服发现AGV的硬件版本似乎不正确，怀疑最近更换过部件。客户确认最近没有更换部件，可能只修改了版本。15. Jacky客服要求手动校准轮径，发现轮径值不正确。16. 客户完成校准后，轮径值正常，AGV恢复正常行驶。17. Jacky客服判断问题由错误的轮径值引起，并要求客户继续监控。18. 客户询问轮径显示为0时，是否进行了版本更改或config修正以改善，客服确认这是由于轮径注册失败导致的问题，表示将继续观察。,
2025-04-04 11:18:00,Mini AGV出现2号电机短路错误，表现为单侧轮胎未锁定，非接触不良，多台mini不定期发生，怀疑是启动时参数问题。同时，电池状态显示不正确。,1. 客服（安稳）确认，客户提供TVID。2. 客服（肖侠驹）询问问题触发情况（运行中或启动时），客户确认是启动时发生，未运行。3. 肖侠驹客服确认，并询问场地使用时间及问题是否一直存在。4. 客户告知是新增加的机体，多次重启可改善，怀疑电机锁定参数有问题。5. 肖侠驹客服询问是否有该车的config文件，表示更改config可能解决问题。6. 客户提供旧config文件，询问是否可用。7. 安稳客服询问是否只有这六台车需要升级。8. 安稳客服表示需要升级配置。9. 客户告知还有一台，并询问是否需要升级config文件。10. 肖侠驹客服建议客户先升级一台，确认无异响后升级全部。11. 客户表示测试后反馈。12. 客户在4月4日报告升级后电池显示仍为红色。13. 安稳客服确认所有机器人显示如此，认为是操作界面问题需要更新。14. 客户询问是否只影响RCS显示，不影响稼动。15. 安稳客服确认不影响使用。16. 客户询问mini的RCS推荐版本。17. 安稳客服表示需要向研发确认显示问题，客户同意。18. 客户报告测试环境的mini也有传感器显示问题和电池显示问题。19. 安稳客服确认已更新恢复正常（指电池显示），并解释未读取到电压时显示红色。20. 客户询问是否仅为瞬时读取问题，不影响稼动，客服确认。,
2025-04-05 11:48:00,机器人追加后出现位置偏移错误。,客户通过注册外径（外径登録）解决了该问题。随后进行了1小时手动走行测试，未出现通信错误或其他异常。,
2025-04-07 17:54:00,机器人187066可能与RCS通信不良，在IN001处停止。客户怀疑原因包括RCS通信、电机异常（升降台无法下降）或商品检测传感器异常。该问题在更换了WiFi板、主板和BMS板后仍持续发生，并且只在该图中的固定位置发生，调整过信道和AP功率后问题依然存在。,客服要求并查看了日志，并远程检查了AC配置。客户补充了AP功率从100提升至120后，其他AGV不再出现问题，唯独187066仍有问题。客服推测可能是AP原因，建议尝试移动AP位置。客户提出疑问，客服表示难以确认根本原因，只能尝试测试。最终客户表示将内部确认AP位置调整方案。,
2025-04-08 16:00:00,迷你机器人ID: 73251出现问题，表现为在开机时发生。,客服要求客户确认问题是否在开机后出现，以及解锁后能否重新锁定。客户确认问题在开机后出现，且远程确认电机可以通过命令锁定，重启后也正常锁定。客服表示不确定上次是否已升级，重新进行了一次配置升级，并请求客户继续观察，同时表示该问题在迷你机器人型号上多次发生，将进行调查。,
2025-04-10 16:32:00,客户进行电梯（ID：3号）主板更换后，发现电梯上的黑色铁块无法正常移动（部分被锁定，部分能动但自动回弹），怀疑是电机或减速器问题。在排查过程中，还出现托盘高度无法调平以及电梯IP地址冲突导致无法控制的问题。,客服远程指导客户检查4个黑色铁块的移动情况。发现部分铁块被锁定无法手动移动，部分能手动移动但松手后自动回弹。客服指导客户交换主控板上的线路，短接特定引脚，并拔掉电机电源线，最终判断为减速器故障。客户更换了减速器、电机和套筒模组后，客服远程协助注册新模块。在调整托盘高度时，发现托盘无法调平，且电梯无法下降。进一步排查发现客服操作失误，将3号电梯IP地址设置成了4号电梯的重复IP（192.168.3.193）。客服指导客户拔掉3号和4号电梯的网线，修正了IP地址为192.168.3.192，并重新调整了3号电梯的上下层高度，最终确认问题解决，客户进行了走行测试确认无误。,
2025-04-09 16:05:00,当所有4个卸货口（Induction）都开放使用时，AGV排队数量不均衡，导致部分卸货口AGV数量过少，影响作业效率。特别是最上面的发货口，AGV不排队或排队数量少，导致作业人员等待时间增加，不得不关闭该卸货口。,客服首先建议修改`Induction Config.txt`中的参数来调整排队区长度，并指导客户将数值从0调整到3（与现场Queue数量一致），要求重启RCS生效。客户尝试后发现稼动效率反而变差，于是恢复为0。客服进一步询问了发货口的平衡系数（客户反馈为5.5），并计划在下周一远程连接观察并协助调整参数。在实际远程连接后，客服修改了平衡参数，并告知客户第二天可以打开所有卸货口进行工作。,
2025-04-14 11:17:00,客户询问在250网格钢制平台上使用Mini机器人时，是否可以将机器人速度设置为1500m/s。现场目前使用该速度时出现许多位置偏移。,客服向内部研发确认1500m/s速度没有问题。客户表示将对所有机器人进行外径注册并观察位置偏移情况。客服建议尝试随机走行看问题是否能复现。,
2025-04-14 12:01:00,机器人（ID: 66090，后扩展至多台机器人如66092）在电池电量高于30%的情况下突然关机。关机后重启电量显示36%。客户怀疑RCS显示问题与关机相关。,客服首先要求提供配置文件并远程查看，但当时现场正在运行无法远程。客服猜测可能是RCS界面显示问题，建议更新RCS程序，但表示关机问题仍需进一步确认。第二天，客户再次报告多台机器人出现类似问题，实际电源关闭。客服远程查看，并进行随机走行测试，确认机器人实际关机。客服最终发现配置文件中迷你机器人的充电起始电压百分比设置过低（38%，相当于几乎没电），导致提前关机。客服将该参数修改为45%，并要求客户继续运行观察。,
2025-04-15 10:33:00,客户询问“满载传感器”（light bar type）的最大检测距离。,客服确认是灯条式传感器后，提供了详细规格图，显示最大检测距离为80cm。,
2025-04-16 14:42:00,客户询问机器人在直线行驶中出现21A电流异常时（发生在走行不良时），是BMSP板还是电机的问题。该问题在重启后可以恢复，紧急停止时轮子自由。,客服询问了故障发生时的具体情况，并要求提供视频，但客户表示没有视频，需待故障机返厂后再确认。客服表示仅凭故障代码无法判断是否为电机问题，需实物检查。,
2025-04-16 15:10:00,客户询问RCS服务器界面中是否有设置可以显示整个地图。,客服要求客户提供当前显示情况截图。最终客服回复，若要显示整个地图，只能更换更大的显示屏。,
2025-04-17 13:41:00,迷你机器人报告错误代码430A，托盘不工作。重新注册后也未改善。客户询问是否需要重新安装配置文件，并指出每次卸货都会出现此错误。,客服判断该错误与配置无关，根据现象初步判断是翻板电机减速器损坏。客户表示将回收机器人进行确认。,
2025-04-17 15:58:00,客户咨询上次更换电梯主板后发现实际问题是电机导致，现客户希望确认被更换下来的主板是否确实没有问题，并询问是否可将该主板寄回进行检测。,客服回复主板应该没问题，但客户坚持要求寄回检测以确认。聊天记录中未显示后续处理结果。,
2025-04-18 11:23:00,客户询问，现场作业人员通过推压箱子到传送带上进行装载，即使大型机器人通电，其传送带电机也处于解锁状态可以手动推动，这种操作方式是否会导致电机过载或故障，或造成电机零位偏移。,客服确认所有双电机大型机器人都是这种情况，并回复这属于正常情况，如果需要可以在锁定状态下配置为无法手动推动。客服进一步确认了这种放置方式没有问题，如果后续遇到问题或疑虑，可再反馈以寻求解决方案。,
2025-04-21 10:53:00,客户在使用RCS尝试开关分拣格口（chute）时，Yes/No选项无响应，且该窗口无法通过其他方式退出，导致RCS界面冻结。RCS重启后恢复。,客服远程登录RCS系统进行检查，但由于客户已重启系统，客服在系统日志中未发现异常。客服要求客户下次遇到此问题时不要立即恢复，以便进行现场排查。,
2025-04-21 14:15:00,客户反馈传送带机器人出现反向旋转，导致货物掉落。Debug日志显示正负方向均有记录，但无警告信息。所有出现反转问题的AGV在运行时传送带均处于非锁定状态。,客服尝试查看控制日志，并询问是否可以通过锁定传送带进行测试。客户确认同意测试。客服远程检查了一台编号为207187的机器人，确认其皮带已锁定，并进行了运行测试，客户确认运行正常。随后，客服升级了剩余3台机器人的配置，客户将继续观察。,
2025-04-22 13:41:00,客户请求提供最新的传送带分解图纸，因为现有的2023年文件在订购零件时部品号不符。客户同时询问是否能提供其他型号（如大型传送带车、Mini、Floorbot）的图纸。,客服确认后，分批次提供了客户所需的最新图纸。,
2025-04-23 11:22:00,迷你机器人ID: 73242（以及后续73231）出现开机后电机未锁定的问题，即使已升级配置文件仍存在。客户观察到在电量低时和AGV长时间放置自动关机后再重启时，更易出现此问题，表现为某个电机短暂离线或未锁定。,客服表示将测试并修改一个避免电机因电流振荡而解锁的配置。客户提供了73231在自动关机后重启时，一个电机未锁定的情况，但随后恢复。客服远程登录73231，确认了在RCS上进行开关机操作可能触发此问题，并承诺将在内部测试并于第二天提供解决方案。,
2025-04-28 08:58:00,"AGV 187066在进入箱回收场所时旋回失败，导致后方187240发生碰撞。客户进一步指出，AGV 187066在RCS界面未显示关机，可能存在定位或电机错误，并报告错误发生在坐标(44,5)。此外，在转弯时AGV会短暂停止，且RCS画面会一瞬间无法追溯AGV的运动，客户怀疑是AP或RCS显示问题，但错误日志中无显示。",客服询问AGV撞车时是否关机，客户否认并怀疑定位或电机错误。客户自行删除187066 AGV，并尝试通过功能按钮重新注册电机并添加。客服询问问题是否还会发生以及是否更换了AP位置。客服夏明丽和倪里特远程查看RCS界面。客服夏明丽尝试随机跑观察故障频率，但由于上位系统未联动无法进行。倪里特解释RCS显示问题是地图不规则拼接导致，不影响小车行驶。客户确认AGV碰撞原因是187066进入动作延迟，且仅此AGV出现此问题，发生在特定坐标点。客服将此现象转交机器人工程师分析。为恢复稼动，客户删除了187066，并请求工程师团队调查进展，表示后续可添加187066获取日志。客服夏明丽远程确认机器人版本，客户暂时无法添加。后续客户添加187066并提供版本信息。客服夏明丽表示等无任务时再添加车辆调查，需故障重现。客服取走手动操作和分拣稼动时的日志，发现日志中存在500报错。客户WES系统侧恢复，解决遗留任务。客服夏明丽与Badiane Alioune沟通升级机器人版本。Badiane Alioune将187066添加回RCS。客服夏明丽停止运行2分钟，对187066进行了版本升级。升级后，客户确认187066恢复正常行驶，并约定第二天继续观察。,
2025-05-07 09:38:00,客户询问是否有已定制的PacketControl功能，以便将输送带式3D分拣机与RCS集成，并请求在测试环境电脑上添加。,客服倪里特将需求转交给客服栗志华。客服栗志华确认需要进行灯条功能的测试，并告知RCS和WCS都需要更新。客户请求在测试用电脑上进行更新，并要求在更新前备份当前的WCS和RCS。客服栗志华确认RCS为单层系统，并于后续时间完成更新。客户确认可以进行测试。,
2025-05-07 11:00:00,投入口（Induction）的AGV排列有偏向，请求确认是否通过修改InductionBalanceCoefficient参数从5.5到10000能改善，或是否需要地图修改。AGV集中在最右侧的StationU6。,客服夏明丽解释将InductionBalanceCoefficient设置为10000会导致绝对平衡，从而拉长小车回流时间并影响产能。客户请求客服夏明丽确认平台状态或进行TV连接。客服夏明丽远程查看后，判断问题像是卸货后回流不平衡导致的，建议先修改参数值观察。客户中野表示分拣中无法随机跑，提供了TV ID并告知15点有10分钟休息时间。客服夏明丽远程观察时，中野进一步指出右下角拒收滑槽的回流路径都流向StationU6，并询问是否是队列排队过长的原因。客服夏明丽解释回流是就近原则，并指出与上游系统的订单分配有关，不受RCS控制。客户中野也强调左侧投入口的设计投入频率更高。客户浅田确认修改参数。客服夏明丽建议等分拣结束后再修改重启。客户中野告知约18-19点稼动结束。客户浅田将InductionBalanceCoefficient的值修改为10000。客服夏明丽要求继续观察。,
2025-05-07 16:05:00,客户询问AGV速度超过1500mm/s会减少地毯寿命，具体询问速度1600mm/s、1800mm/s、2000mm/s对应的地毯寿命预估。,客服夏明丽进行了确认。客服夏明丽回复：速度1600mm/s，地毯使用寿命预计3年；速度1800mm/s，地毯使用寿命预计2年；速度2000mm/s，地毯使用寿命预计1年。并补充说明，根据当前AGV机器人的性能，即使地毯有磨损，仍能继续使用，整体使用寿命可达3年以上。客户池田隼人表示感谢并会参考此信息。,
2025-05-07 16:12:00,客户询问为何3D分拣机（sorter1）离线，客户在1:54 JST尝试使用时离线，系统重启后问题解决。,客服夏明丽询问是否是使用过程中突然离线，Badiane Alioune回复是客户开机时离线。客服夏明丽询问重启分拣机后是否恢复正常，Badiane Alioune确认。客服夏明丽询问离线时LCD屏幕显示，Badiane Alioune提供图片显示“offline”。客服夏明丽确认。Badiane Alioune追问问题原因。客户浅田询问是否能从日志确认客户最后操作。客服夏明丽尝试查看日志，并初步判断如果是正常操作下显示离线，可能是静电原因导致网络故障，重启分拣机后网络重置，所以恢复正常。客户浅田询问版本差异是否能避免此问题，希望将版本统一到24-61（sorter2的版本）。客服夏明丽确认版本号是所有项目共用的，可协助升级。客户浅田请求统一版本到24-61，并表示将观察数日。客服夏明丽进行升级并告知已完成。客户浅田确认更新完成，并测试了电源关闭、急停按钮解除后系统能正常启动。,
2025-05-12 10:58:00,客户反映稼动中卡读器离线，RFID位置未偏移。按下3D分拣机上的急停按钮并重启后恢复。该离线问题不定期发生，当天11点左右再次发生。故障都出现在sorter2，且左右读卡器均离线。,客服栗志华将问题转交给客服夏明丽。客服夏明丽建议客户先检查读卡器的连接线是否松动。客户浅田询问是否只需重新放置小车即可改善。客服夏明丽解释读卡器离线可能是连接线问题或读卡器本身损坏。客户浅田询问线缆松动情况下重启是否能恢复，并提供了当天日志。客服夏明丽确认故障都发生在sorter2，且左右读卡器均显示离线。客户浅田确认将检查线缆。,
2025-05-12 15:14:00,客户询问输送带（cb30和cb15）的最小和最大旋转距离参数。,客服肖肖联系研发进行咨询。客服肖肖回复客户，皮带转动的距离在硬件上没有限制，软件上在RCS配置多少皮带就转动多少距离，并建议根据实际卸货的商品情况进行调整。客户Badiane Alioune表示了解并感谢快速响应。,
2025-05-13 14:41:00,客户询问RCS版本从4.03.15更新到4.04.11后，是否支持设置ChuteGroup的代表灯（塔灯），因为通常需要4.05.08以上版本才支持此功能。,客户浅田澄清了问题是关于灯条功能的设置。客服栗志华确认新版本支持此功能。客户浅田表示会尝试。客户浅田后续发现tower light config打开后显示的是报警音量设置，而不是想要的灯条设置界面，且不需要声音。客服栗志华表示会增加所需的设置界面。客服栗志华完成更新并告知客户。客户浅田感谢并表示第二天会确认。,
2025-05-15 13:03:00,客户通知已将所有9台机器人的交叉带更换为新型硬件版本，请求修改cb30参数。此外，客户希望AGV开机时交叉带能够保持锁定状态，但目前所有10台机器人开机后输送带仍处于解锁状态。,客服栗志华将问题转给客服夏明丽。客服夏明丽确认并询问是否所有机器人均已更换，Badiane Alioune确认。客服夏明丽确认升级文件，并完成参数升级。客户浅田确认启动正常，并询问电机版本是否统一为342，客服夏明丽确认统一。Badiane Alioune再次请求修改91220机器人的参数。客服Jacky和肖侠驹确认，并解释目前皮带机停止锁定是故意修改的，询问客户是否需要开机解锁的版本。Badiane Alioune确认需要开机时即锁定输送带的版本。客服肖侠驹表示将修改一个可以解锁的版本。,
2025-05-16 09:42:00,客户尝试配置输送带式3D分拣机，但仍显示离线，请求调查。,客服吴占宁确认。客服吴占宁调查后发现问题在于分拣机的IP地址是3.15，而WCS系统中的IP地址是3.16，导致两者无法通信而离线。客户Badiane Alioune感谢。客服吴占宁请求客户提供分拣机当前状态的照片。,
2025-05-16 10:54:00,客户请求调整3D分拣机卸货时的坐标，计划在日本时间12:00-13:00进行。具体为1号机，倒数第二排箱子卸货时底部会干涉，需要将该排（4x5B货架）的坐标上移5-10mm。,客服吴占宁将问题转给客服夏明丽。客服夏明丽和陈振林确认需要提高卸货坐标，以解决箱子底部与地面干涉的问题。客户浅田确认只有第二排在使用RACK002、006时出现干涉，要求只修改4x5B货架的坐标。客服陈振林表示会提高5cm，客户浅田纠正为1cm。客服陈振林修改完成，提高了1cm的坐标，并告知客户需要重启WCS才能生效。客户浅田确认WCS重启没问题。客服陈振林已重启WCS，并请客户测试货架。客户浅田表示下午会使用测试。客服陈振林担心影响正常分拣。客户浅田表示已将设备返还客户，如果稼动后仍发生冲突，会恢复Y轴坐标，并得知客服有备份文件可恢复。次日，客户浅田确认第二排箱子已不再干涉，正常使用。,
2025-05-16 16:34:00,客户询问为何灯条亮起（表示满箱/不应卸货）但AGV仍然卸货。客户浅田进一步询问，停车区不足时，AGV应循环行驶，但当前设置下即使卸货口满箱AGV也会卸货，希望RCS功能可以修改为当停车区不足时，AGV循环行驶直到卸货口释放。,客服栗志华初步判断是由于没有停车区（Parking Area），建议将两个格子设为停车区。客户浅田质疑没有停车区AGV会循环行驶，不会卸货，询问设置是否改变。客户浅田表示稍后添加停车区。客户浅田和肖侠驹约定下周一继续处理交叉带锁定问题。客服陈振林确认所有AGV为大型双电机，并提供了新的配置文件：8804_大车双电机皮带_默认锁定版.config。客户浅田感谢。后续，客户浅田确认添加Parking Area后，Chute满时AGV正常等待，但AGV数量多于Parking时，后续AGV即使满箱仍会卸货，表示会注意地图制作。客户浅田同时询问AGV卸货后RCS上任务信息未更新并等待的原因，客服倪里特判断WCS处于断线状态，客服栗志华表示需查看日志。客户浅田表示理解。,
2025-05-21 16:44:00,AGV没有前往停车区，而是继续行驶并尝试排队到已满的投入口（Induction）。,客服栗志华请求远程协助。客户浅田提供TV ID。客服栗志华远程连接后进行了修正。客户浅田感谢修正。,
2025-05-22 10:17:00,客户将单电机输送带更换为新品双电机输送带（AGVID 91214）后，无负载时正常旋转，但负载30kg时输送带不旋转。客户确认目前地图上只有91214有此问题。,客服夏明丽确认。客户浅田提供了AGVID 91214和TV ID。客服夏明丽要求客户录制一段负载30kg和一段负载小重量物品的视频。客户浅田录制了15kg负载视频，确认问题未发生，可以正常卸货。客服夏明丽收到视频并确认。客服夏明丽远程连接并对91214进行了升级。客户浅田感谢，并要求所有AGV断电以确认。后续，客服夏明丽和肖侠驹对该车进行持续测试和问题分析，在客户设乐优心协助下进行载重测试，确认问题已解决，AGV可以正常运行并载重30kg。,
2025-05-22 12:58:00,客户询问昨日例会讨论的AGV输送带电机在行驶时若一直保持锁定状态，是否可能导致电机发热。客户还指出，342版本更新后仍发生电机逆转，正在测试常时锁定参数是否能解决此问题，并询问是否有其他原因。,客服夏明丽澄清昨日例会主要确认的是电机逆转问题。客户浅田解释逆转问题发生时皮带是常时解锁状态，猜测是否因此丢失方向，并提到342版本会在旋转前锁定电机。客户浅田确认342版本后仍发生逆转，目前正在测试常时锁定参数是否解决问题，并询问是否有其他原因，否则将回滚。客服肖侠驹询问客户是否指342版本也会逆转，客户确认。客服肖侠驹表示将通过更换了皮带机的91214来查找皮带逆转的原因。客服夏明丽远程查看，并与客户设乐优心协作，对91214进行监控和测试。客户设乐优心录制了视频，并根据指示进行操作。期间AGV出现错误，但在客服处理后恢复正常。客服夏明丽要求测试30kg载重，客户设乐优心测试后确认问题已解决，AGV可以正常运行。,
2025-05-23 11:16:00,客户询问关于满箱传感器与WCS联动RCS的问题：当前若停车区不足，即使卸货口满箱AGV也会卸货。客户希望RCS功能可以修改为：当停车区不足时，AGV应循环行驶直到卸货口释放。如果可以修改，需要多少工时？,客服栗志华确认RCS可以修改以实现该功能。客户Kei和浅田表示此功能应该已经存在。客服栗志华确认使用满箱传感器的常规RCS已具备此功能。客服栗志华预估功能修改需要3个工作日左右。客户浅田询问是否会产生开发费用。客户浅田表示会在公司内部确认后，若决定进行功能修改，会再次联系客服。,
2025-05-23 15:25:00,客户发现文件名显示为347，但更新后AGV显示的实际版本却是348，询问是否是文件名标注错误。,客服夏明丽确认是文件名在修改时出现了错误，实际版本为348。客户浅田表示了解。,
2025-05-23 17:36:00,客户询问21A错误码在何种情况下发生，以及是否可以通过电机注册来改善。客户进一步询问，如果是在充电器连接瞬间发生是否正常？,客服夏明丽表示需要远程查看才能根据具体情况判断。客服夏明丽解释21A错误是电机堵转导致解锁。客户浅田表示当前AGV电量不足无法进行TV远程连接，并约定后续方便时再联系。,
2025-05-26 08:41:00,客户发现prod目录下的JSON文件中写的托盘类型与RCS中显示的托盘类型不同，RCS版本为4.05.00，询问是否RCS是从其他配置文件中选择托盘类型。,客服倪里特请求远程查看。客户池田隼人同意在不影响稼动的情况下进行检查。客服倪里特检查后解释，JSON文件里是Crossbelt，客户可能打开了其他无关的JSON文件，可能是bak文件。客户池田隼人确认。客户池田隼人询问bak文件是否需要同样修改。客服倪里特解释bak文件不是RCS管理的文件，是有人手动复制出来的，可以删除，没有太大意义。并建议如果需要备份，应备份整个RCS目录或使用RCS的备份工具。客户池田隼人表示了解，并感谢客服的帮助。,
2025-05-26 17:00:00,RCS上显示LibiaoLight在线，但PacketControl离线，询问原因。客户指出当前是待机系统，运行系统正常。此外，客户发现RCS的AP也显示离线，并且多个传感器处于冻结状态（A59传感器一直点亮）。,客服Wang解释Libiao Light在线是软件在线，灯条离线是设备离线，并建议检查电源盒供电和主机防火墙。客户中野尝试后仍离线。客服Wang请求远程。客户中野提供了TV ID，并再次强调是待机系统，运行系统正常。客服Wang询问待机主机是否未接入局域网，指出主机和灯条电源盒需在同一局域网内通信。客户中野表示待机系与运行系同步，认为是连接线问题，但当前无法重新连接。客服Wang建议待可连接时再试。客户中野询问RCS的AP离线是否同理，客服Wang确认。客户中野通过切换线缆解决了网络连接问题。客户中野随后发现多个传感器冻结，客服Wang远程重启软件后，传感器恢复正常。客户中野表示可能是电源盒和RCS启动时序问题，会注意。客户中野随后报告A59传感器仍点亮，客服Wang确认已不亮。客户中野尝试拔插A59传感器线缆，确认暂时没问题。,
2025-05-27 14:44:00,新的6针充电终端熔化了，和旧的3针终端一样。客户询问是否理解正确：更换针脚数量是为了避免过热和塑料熔化。,客服询问充电桩使用时间及ID，客户提供充电器ID (RCH001775)。客服确认6针设计是为了避免过热。客服通过ID查询到充电桩是2022年7月28日发货，并告知熔化原因是接触不良造成发热。同时指出公司已于2023年将充电口外壳材料升级为更耐热的PC材料。客服进一步说明老材料75摄氏度软化，新材料125摄氏度软化。客服总结根本原因是旧材料耐热温度低，充电站长时间运行温度较高导致熔化。客户追问2023年具体更换材料的月份，客服回复大约在3月左右。,
2025-05-29 08:40:00,客户收到反馈，商品从AGV上掉落，正在确认是否是皮带逆转导致。此问题发生在固件升级之后。,客服肖侠驹要求客户提供发生时间和机器人编号以便获取日志，客户提供了时间（5月29日9:31左右）和机器人编号（66231、66241），并指出此次AGV ID与过去发生皮带逆转的AGV不同，怀疑是否受固件升级影响。客服安稳协助取日志。客服肖侠驹初步排查结果是电机版本有问题，正在调试电机程序，并表示有望在1小时内查明原因。客户询问是否能提供モーターロック（电机锁定）的config文件，并咨询电机锁定的潜在缺点。客服肖侠驹解释缺点是皮带机意外解锁后，再次下发旋转指令可能不转动直到AGV重启。客户确认中国现场默认解锁，日本出荷不需要锁定。客服肖侠驹后续提供了小型皮带AGV默认解锁的config文件。客户当天未再报告逆转问题，等待下周的调查结果。,
2025-06-03 10:42:00,大型AGV 91214无法卸载30kg的物品。,客服安稳请求远程连接。客户提供远程连接后，客服安稳询问15kg卸货是否正常，以及这是否是升级后第一次出现卸货失败。客户回复之前升级过348版本，问题曾暂时改善但现在再次发生。客服安稳要求发送视频并告知研发正在修改程序，有结果会及时同步。后续（6月17日）客户在测试环境再次提及AGV 91214卸货失败，怀疑电机弱，希望确认是否留有错误记录。客服肖侠驹同意升级该AGV的电机程序（34A版本，增加更多日志）进行观察。升级后，客户测试91214暂时能够正常卸货。客服肖侠驹解释34A版本解决了货物过重导致皮带机移动缓慢，代码错误判断卸货完成的问题。客户询问34A与348除了日志增加外是否有其他改动，并确认如果34A稳定，大型和小型AGV是否都能使用，客服确认了。,
2025-06-04 11:09:00,RCS Ver.4.03.15与3Dsorter联动，但Redis设置后“Data Recovery”未显示。客户询问是否需要修改JSON文件或更改版本。,客服安稳请求远程连接。客户提供RCS复制文件进行确认。客服安稳指出这不是RCS的Redis服务，仍需远程连接。远程连接过程中卡顿，需要频繁输入密码以安装Redis服务。客服安稳表示需要停止并删除现有服务才能重新安装，需管理员权限。客户暂停操作以获取管理员账户。在管理员账户下停止Redis后，RCS界面“Data Recovery”恢复显示正常。客服安稳确认第一次安装7004和7005服务失败原因未知，重新安装需先停止服务并切换管理员账户。客服倪里特表示会与软件部门沟通客户场地不使用官方Redis安装包的情况。客户后续询问RCS单机、WCS单机以及RCS-WCS联动所需Redis包的区别。客服安稳回复RCS可用单机或哨兵版本，WCS用哨兵版本，不区分联动随机跑。客户于6月11日请求再次远程安装Redis，客服安稳通过管理员账户远程重新安装Redis服务，并确认“Data Recovery”功能已正常显示。客服安稳澄清Redis与联动无关联，之前安装的LBRedisServer是WCS的Redis，现在安装的是RCS的Redis，两者独立运行，作用都是重启程序后任务自动恢复。,
2025-06-06 17:22:00,客户询问过去的问题：5月30日稼动结束后3Dsorter被放置在启动状态，导致sorter9电机出现故障。6月2日通过电源盒重启后恢复。客户询问客服能否查到电源开关的具体时间。,客服汪昌春询问是分拣机本身还是WCS软件的问题。客服汪昌春回复WCS日志不记录分拣机本体的电源事件，WCS日志只记录与分拣机本体通信的信息。客户询问特定日志是否意味着分拣机本体启动并通信正常，但读卡器有故障。客服汪昌春解释货架离线有多种情况，包括放置不当、被拉走或读卡器故障。客户表示重启后已恢复正常，将继续观察。,
2025-06-10 15:57:00,客户复制了WCS，但Redis未绑定导致WCS无法启动（版本5.11.27）。,客服汪昌春询问是否需要安装单机版Redis。客服汪昌春远程查看，发现服务中只有一个立镖的Redis包，确认该服务器可能缺少Redis包。客服汪昌春随即进行安装，并于16:08:06确认WCS已启动。客户确认安装成功。,
2025-06-11 12:27:00,AGV 88204在未卸货的情况下停在原地。,客服汪昌春询问AGV是否能启动，客户回复可以启动。客服汪昌春检查后发现“Chute Z001”目前不可用，正在确认原因，并停止了AGV运行。客服汪昌春随后确认WCS配置文件ChuteNo.csv配置不正确导致问题。客服汪昌春更新配置并重启WCS，要求客户再次运行并确认。客户确认后问题解决。,
2025-06-11 16:06:00,未安装传感器的3D分拣机出现离线错误。,客服汪昌春远程连接。客服汪昌春指导客户检查LCD设置，并建议取消某个设置后再次观察。客户解除设置并重启，但询问“sorting status”显示unknown是否正常。此问题与AGV无法启动行驶（Issue 9）同时发生并解决。,
