故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
硬件,机器人,驱动轮电机,主动轮松动,上层小车217150跑偏，右轮松动,现场无工具，需拆机检查,临时删车，待现场有工具后检修
客户操作,,,现场实际的机器人数量和系统中的机器人数量不一致，导致频繁撞车,现场实际的机器人数量和系统中的机器人数量不一致，导致频繁撞车,现场工人删除机器人的时候没给机器人抱下平台,删除多余的机器人
数据补推和货架释放,,,释放货架,释放货架,释放货架,释放货架
客户操作,,,格口被关闭,901格口总是被关闭,日志查询是客户手动关闭的,提醒客户，并指导客户正确操作
硬件,扫码台相机,,相机离线,相机离线，无法正常连接，配置文件正常，相机也通道,,重启相机后恢复正常
软件,MCS,,波次无法关闭,波次无法关闭,订单状态上显示还有一件在机械臂上,修改状态
客户操作,,,RCS程序无法启动,RCS程序无法启动,加密狗驱动被删除,重新安装加密狗驱动
硬件,机器人,驱动轮电机,2号电机会批量出现解锁状态,2号电机会批量出现解锁状态,可能是配置导致的,"联系肖侠驹，更新config配置
先更新一台进行测试中
5月1日 更新剩下的六台车 测试中
测试26天，无异常反馈"
软件,RCS,,RCS机器人详情信息界面，电池电压全部报红显示,RCS机器人详情信息界面，电池电压全部报红显示,RCS驱动文件显示问题,联系研发黄昌广，更新RCS显示文件
波次问题（移除、迁移、关闭）,波次迁移,,迁移波次,将波次ID2504030006从第三套平台迁移到第一套,,操作数据库修改波次信息进行迁移
硬件,分拣机,读卡器,显示左读卡器离线,显示左读卡器离线,读卡器连接线坏掉了,更换读卡器连接线
硬件,飞箱,主控板,101059飞箱失联,待机过程中飞箱101059出现失联情况，RCS界面显示飞箱关机，可以ping通飞箱的IP地址,肖侠驹判断飞箱主板死机，复位主板之后恢复，原因未知，待分析,临时重置主板后恢复
其它,AP离线,,所有小车无法开机,下层RCS中所有小车无法开机,所有AP离线，是下层RCS主机的IP变掉了，正确的应该是192.168.2.4才对。,修改下层RCS主机IP后正常
飞箱异常,其它,,101064拉箱失败脱钩,请解决:拉箱<-地面车飞箱:101064 地面车:219241在地面车拉箱失败，箱子脱钩,监控显示拉箱时飞箱位置偏高，降低接驳位偏移量,降低接驳位偏移量后终止重试恢复
硬件,飞箱,其它,飞箱定位失败,现在对飞箱扎线后，飞箱断电，再开机定位失败,飞箱倾角过大，导致定位失败,调整倾角后重新定位
飞箱异常,其它,,101063拉箱失败,"-ト引出す<-棚AirRob:
解決してください:ト-ト引出す<-棚AirRob:101063 口ケ-ション:(A064)04-033サポ-トに連絡してください!","监控显示飞箱已经将箱子拉到，但是出现报错提示，具体原因待肖侠驹分析
箱号: 305136",终止重试后恢复
飞箱异常,其它,,101054飞箱拉箱失败,"请解决:拉箱<-货架长箱:101054 箱位:(A003)02-050调整位置的次数超过10次,调整拉箱位置失败",未知,终止重试后重新拉取
硬件,分拣机,1号电机,1号电机离线,第2套30号分拣机1号电机离线，电机温度有点烫，电机灯闪烁较慢,怀疑是哪里卡住了,拉走货架至其他空闲机器，按急停按钮并解除后恢复
硬件,扫码台相机,,相机无法调整焦距,相机无法调整焦距，只能转动整个镜头才能调焦距,由于前面光圈上面位置松动，使用了胶水，可能影响到了相机焦距转动无法调焦的问题,正在确认是否可以采购单个镜头进行更换，补发备件
客户操作,,,现场反馈有一个货物掉下来了，货物拿起来后，小黄人检测不到rfid,现场反馈有一个货物掉下来了，货物拿起来后，小黄人检测不到rfid,货物拿起后，机器人没有放到魔毯中间位置导致识别不到位置,重新定位
硬件,AP,,RCS上面无法启动小车,用户在RCS操作界面上面点击开启全部机器人，但是无法开机,经核实调查发现，现场的AP处于离线状态,让客户检查AP的网络情况，确保AP要处于在线状态，RCS才能和小车进行通信。
客户操作,,,工控机没有显示桌面,工控机没有显示桌面,客户打开了平板模式,关闭平板模式后正常
软件,RCS,,地面车230206到达接驳位超时,等待地面车: 230206 到达接驳位超时。请检查地面车状态  点击已解决继续等待，异常时中止当前工单解决方法,地面车要去的接驳位被飞箱挡住，导致机器人无法前进,"移动飞箱后恢复
具体原因待研发分析后给出"
参数配置,,,卸货时，翻板上的药品翻不下来,卸货时，翻板上的药品翻不下来,正在测试观察,"修改二段翻板的配置（翻板在到达顶点时的停留时间）
无异常反馈"
硬件,飞箱,TOF21,106001飞箱报警,106001飞箱近期频繁报：接驳位多次修正失败。,未知，已反馈肖,临时解决方法：终止启动任务
参数配置,,,关闭波次失败,波兰LPP关闭95500失败，弹出接口失败的错误弹框,wcs配置中有一个扫箱拉取波次的配置，关闭即可,"wcs的波次信息中强制完成剩余订单后完成波次，wes中去完成波次了
在wcs配置中把下面配置地址删除，配空地址就可以关闭扫箱拉取波次功能
<!--与WES相关配置:请求波次地址-->
<add key=""WRequestUrl"" value=""""/>"
客户操作,,,货架无法正常使用,插入50217和50218分拣机显示蓝灯，并且mcs日志中显示是货物未释放，但两个货架是刚注册完成的,注册货架是多注册了一次,在数据库中wall表删除一个重复那条数据，等客户确认是否正常
其它,镖普hub程序,,无法正常发货,扫码台上显示接口3次无应答，查询车服api日志发现hub没有应答，联系镖普同事进行排查,hub程序服务的问题，车服发送信息没有应答,联系镖普同事查看hub程序
飞箱异常,其它,,飞箱106001报错,Please Resolve:Push bin ->Floorbot219151AirRob: 106001 Floorbot:接驳位多次修正失败,,读取日志，终止启动
硬件,飞箱,其它,飞箱106008报错,"Please Resolve:Pull bin<- FloorbotAirRob:106008 Floorbot:219160单节电池电压过高,bms充电开关损坏4213",,读取日志，终止启动
飞箱异常,倾角异常,,飞箱101056、101103、101109报错,倾角加速度异常,,读取日志，终止启动后正常
其它,网络原因,,衣恋3D平台问题处理,衣恋群里说有商品分错,根据客户提供的分错商品的波次号及商品号查询，分错商品在3D04分拣机，该分拣机频繁报网络差，ping 不通,使用工具软件无法连接，指导客户在分拣机自带液晶屏进行网络复位后恢复
客户操作,,,分拣机报警,B仓3D第2套14号机报警,正常货架M053D0372被现场拉走，日志显示其离线。,找回该货架放入14号机后正常。
硬件,飞箱,其它,三台飞箱异常,三台飞箱同样异常，无法开机运行，提示倾角加速度异常,徐剑昌：因为现在飞箱关机后，会把激光雷达给关闭的，目的是延长激光雷达的使用寿命。但是激光雷达的5V电源和倾角加速度计是同一路电源，所以在关机时也是被关闭的。收到开机指令后，5V电源打开，倾角加速度计上电有个时间，主任务线程等的时间不够长，所以会判断成离线了，只要把这个等的时间稍微加长一点就可以了。,读取全部日志，临时远程终止并启动任务后恢复。
波次问题（移除、迁移、关闭）,迁移波次,,迁移波次,Jennifer Flores：Can we move wave ID2503310028 form gru 3 to gru 2 please?,现场人员Jennifer Flores要求,修改WES数据库wave_info表
客户操作,,,上层堵车,上层堵车，大部分小车都不动了,客户包裹目的地较为集中在某几个格口导致路线不通,手动驱赶几个关键节点的小车疏通路线后正常
软件,RCS,,101074地面车拉箱失败，箱子脱钩,"AirRob: 101074 GRobot: 228202
在地面车拉箱失败，箱子脱钩",,终止启动点击已解决
客户操作,,,货架离线,客户把货架拉出来导致货架离线，小车无法正常卸货而堵车,客户把正在分拣的货架拉出来,查询mcs日志把27号分拣机货架放回去就恢复正常了
其它,断电跳闸,,全部断电跳闸,车服离线，ap离线，相机断电，上下两层无法正常作业，小车无法正常连接状态,断电，导致内网无法连接ap，并且电脑内网无法接通,通电后，恢复网络连接，并且检查ap连接情况后再次开启后恢复
数据补推和货架释放,,,释放货架,BZQCT2066，BZQCT0114，BZQCT2052和BZQCT0077释放货架,,使用wms接口进行释放
飞箱异常,其它,,飞箱106006报错,Please Resolve:Pull bin<- FloorbotAirRob:106006 Floorbot:219154在地面车拉箱失败，箱子脱钩,,读取日志，终止启动
飞箱异常,其它,,飞箱106001报错,Floorbot AirRob: 106001 Floorbot:219182接驳位多次修正失败,,读取日志，终止启动
客户操作,,,删除波次,PO2503310081波次在PNT仓已经分拣结束，但在GLP中又下发波次并启动了，需要删除GLP中的PO2503310081波次,客户说尽管其排序在PNT上已经完成，系统错误，这波信号出现在GLP上,操作:在MCS上关闭PO2503310081波次，并在数据库中将波次状态修改为0，再次修改为4，并删除关于PO2503310081波次wall_wave_bind_info表格的货架信息，就可以释放货架
软件,RCS,,堵车,下层左下角位置堵车不动了,目的地较为集中在地图左下角位置,手动赶走关键节点小车后恢复正常
软件,RCS,,RCS飞箱操作界面和地面车操作界面新无法打开,"Window任务管理器无法启动
记事本无法打开
飞箱操作界面（新）和地面操作界面（新）","研发还在查询原因
出现之后重启电脑恢复",暂无
飞箱异常,其它,,101062拉箱失败,请解决:拉箱<-地面车飞箱:101062地面车:219242在地面车拉箱失败，箱子脱钩,"肖侠驹处理
调整飞箱位置重新拉箱",调整飞箱位置重新拉箱
硬件,飞箱,其它,"飞箱执行动作报错“error""","飞箱101051执行动作报错”error""",原因未知,终止启动飞箱任务，恢复正常
飞箱异常,其它,,飞箱从地面车拉箱失败,飞箱101031从地面车219240拉箱失败，箱子脱钩,箱子位置不正,临时解决方案：手动操作飞箱，调整箱子位置。然后终止和重启任务
其它,客户原因,,飞箱推箱到货架失败,飞箱101051推箱到货架失败,货物超高,重新整理商品，终止启动飞箱任务
飞箱异常,其它,,101032飞箱拉箱失败,"拉箱<-货架飞箱:101032箱位:(A008)10-019调整位置的次数超过10次,调整拉箱位置失败",具体原因待查，临时恢复,将报错箱位左边的箱子拉走之后，临时恢复正常
软件,RCS,,飞箱从地面车拉箱失败,问题现象：飞箱101014从地面车219253拉箱失败，拉箱距离大于270mm,地面车上面没有箱子,"临时解决方案： 将飞箱任务终止和重启
根本解决方案：优化程序"
硬件,其它,,印仓B4网络故障处理,印仓B4网络故障处理，目前分析可能还是网络问题,"客户反馈，16-27分拣机红色离线，但是lcd有电。
分析认为是网络问题导致。",远程指导客户将网络环断开。故障消失，系统恢复正常。
硬件,机器人,霍尔板,悉尼皮带车反转问题处理,悉尼皮带车反转问题处理,客户发现皮带车反向卸货，需要定位问题和修改配置。,"远程指导客户确认车号，查log，看哪个车，让客户单独测试一下。
Charging Station chucks修改配置，右侧卸货。"
参数配置,,,美国uniuni NJ项目加扫码规则白名单,美国uniuni NJ项目加扫码规则白名单,根据其他项目配置修改，添加白名单。,"修改扫码台软件配置，添加下面配置：""WhiteListFilter"" : ""UUS[A-Z0-9]{16},XDL[0-9]{11},202[45][0-9]{12},UUSC[0-9]{12},2P[0-9]{15},GV[A-Z0-9]{16},H3US[A-Z0-9]{8},4C[0-9]{9}US,ONE[A-Z0-9]{13}"","
参数配置,,,英国希音释放货架,英国希音释放货架，客户要求：GBW0103帮忙释放这个二分架,客户要求,直接查询状态，然后释放
参数配置,,,美国uniuni迈阿密加扫码规则白名单,美国uniuni迈阿密加扫码规则白名单,客户发现有的码扫不出来，决定添加新格式条码白名单。,"修改扫码台软件配置，添加白名单：""WhiteListFilter"" : ""UUS[A-Z0-9]{16},XDL[0-9]{11},202[45][0-9]{12},UUSC[0-9]{12},2P[0-9]{15},GV[A-Z0-9]{16},H3US[A-Z0-9]{8},4C[0-9]{9}US,ONE[A-Z0-9]{13}"","
数据补推和货架释放,,,美国B4迁移波次,美国B4迁移波次,"客户要求，修改波次到其他平台。
Can we please move wave ID250326005 to Gru 3  please。",根据要求，修改对应参数。
飞箱异常,其它,,101024推箱后地面车检测不到,请解决:推箱->地面车飞箱:101024地面车:219219补推3次后，地面车箱传感器检测不到,箱子推歪，调整箱子位置后恢复,箱子推歪了，调整箱子位置后恢复
飞箱异常,其它,,101032拉箱失败,"拉箱<-货架
飞箱:101032箱位:(A008)04-019调整位置的次数超过10次,调整拉箱位置失败","飞箱拉箱失败
怀疑更换TOF导致的，肖侠驹暂时没有时间飞箱，先做临时恢复处理",将飞箱左边的箱子拉出之后，终止重试可以正常拉出
软件,RCS,,飞箱接驳位多次修正失败,韩国cjoy飞箱报警,接驳位多次修正失败,读取日志，终止启动
数据补推和货架释放,,,释放货架,"BZQ3963
BZQ0065
BZQ1492
BZQ3837释放货架，BZQ0151货物未处于待释放状态",,进入wms交互界面进行释放货架
波次问题（移除、迁移、关闭）,迁移波次,,波次迁移,美国希音B4仓将波次ID2503290037 从第三套迁移到第四套平台上,,操作数据库迁移波次
硬件,机器人,其它,机器人186163异常,机器人186163异常,机器人186163异常，小车轮径不对在地毯上乱跑,需要校准机器人轮径，校准机器人后恢复
其它,发货口没有机器人到达,,发货口没有机器人到达,发货口没有机器人到达,查看RCS日志，根据客户提供的单号没有机器人任务，查看发货口日志发现是时间10 :40:54期间系统被关闭了,发货口没有机器人到达，根据客户提供的时间没有机器人到发货口，时间10 :40:54  RCS系统被关闭了 所以日志上面显示没有机器人在发货口
其它,RCS系统显示不正确,,RCS系统显示不正确,RCS系统显示不正确,RCS系统显示不正确，RCS上显示21个扫码台在线，实际是18个扫码台，开发说是RCSbug,让现场重启RCS解决
其它,机器人都在一个通道里拥堵,,机器人都在一个通道里拥堵,机器人都在一个通道里拥堵,机器人都堵在一个通道里，且卸货口都是一个手指通道里，需要客户分开下发任务,我看了远程现场机器人都在一个通道里，让现场分开下任务
其它,机器人拥堵,,机器人拥堵,机器人拥堵,机器人拥堵，下发任务的格口太集中了，都在同一个通道里面,机器人拥堵，下发任务的格口太集中了，都在同一个通道里面，让现场分开发货不要都在一个通道
软件,WES,,料箱数据异常,2204032这个框昨天整箱完成的时候显示缺件完成 和2207804一个问题 ，然后现在仓储系统显示一个库存 车服却是异常无数据 ，正常我们整箱完成的时候框里库存是全出掉没有库存，不知道为什么会缺件完成。,192.168.1.7的这台wes服务器有问题：wes系统集群主机（192.168.1.7）在3.26号13:41:13时出现异常导致该机器服务整体下线，13:41:44自动完成切换到新主机（192.168.1.4）继续提供服务，切换过程中产生的数据wes未能正常处理成功，其中包括您提到的2个箱子，导致出现目前的情况。,WES问题服务器重启，并修复异常数据。
其它,无法扫码,,一侧扫码台无法扫码,2.5扫码台无法扫码识别,怀疑是旧版todesk影响,卸载旧版todesk软件后扫码正常
波次问题（移除、迁移、关闭）,迁移波次,,迁移波次,get WAVE ID2503270048 moved from GRU 3 to GRU 2,现场人员Gregory Griffin要求,修改WES数据库wave_info表
飞箱异常,其它,,飞箱101032报错,"请解决:拉箱<-货架飞箱:101032箱位:(A008)01-019调整位置的次数超过10次,调整拉箱位置失败",未知,读取全部日志，终止并启动任务后恢复。
飞箱异常,其它,,飞箱101051报错,飞箱箱号和读码器箱号个一致 飞箱:101051 读码器读到的箱号:2209764,未知,箱号2209764实际位置：（A004）02-012，点击确定后继续运行。
飞箱异常,TOF异常,,飞箱101032报错,"请解决：
拉箱<-货架飞箱:101032 箱位:(A008)06-023cmd exc:device offline:右后tof",未知,查看tof列表，都在线中。读取全部日志后，终止启动任务后恢复正常。
飞箱异常,其它,,飞箱101070报错,"警告：トート引出す<-棚
AirRob: 101070 ロケーション: (A071)06-024
No running position:9 目标:565.0实际:161.4",待研发肖侠驹分析,读取全部日志，手动将料箱推回去后，终止并启动任务后恢复
硬件,飞箱,其它,飞箱101059报错,"警告：トート引出す<-GRobot
AirRob: 101059 GRobot: 228160
接驳位没有小车",待研发肖侠驹分析,读取全部日志，手动抬高一点点飞箱后，终止启动任务后恢复
其它,更换新地图,,更换新地图,更换新地图,客户说现场地图路线效率低，规划更新新的地图,更换现场新地图
飞箱异常,TOF异常,,飞箱101032拉箱失败,"拉箱<-货架飞箱:101032箱位:(A008)09-020调整位置的次数超过20次,调整拉箱位置失败","这个飞箱今天更换过tof，更换之后出现3次
怀疑tof有问题，需要现场休息的时候检查
2025年3月31日对TOF21和22重新更换，手动推拉箱测试正常，后续观察",临时手动推拉箱恢复
硬件,飞箱,触点,飞箱101061掉电,"流山UA 警告：飞箱: 101061 故障。问题:
定位失效
请恢复飞箱后点击已解决",飞箱待机中出现飞箱掉电，导致飞箱丢失定位,现场晃动飞箱之后，飞箱重新上电恢复正常
飞箱异常,其它,,101059拉箱失败,"警告：トート引出す<-GRobot
AirRob: 101059 GRobot: 229011
No running position:9 目标:432.5实际:552.4","随机跑测试中出现，飞箱拉箱失败，原因未知，
处理过程中导致228128、229011急停",临时远程恢复
软件,RCS,,机器人急停,"随机跑测试中出现，两个地面车同时去一个接驳导致撞车
警告：地面车 230200 区域急停 机器人: 230200 发生了区域锁定,坐标: 76,29,错误码: 21C,描述激光雷达避障急停,检查并复位","随机跑测试中出现，两个地面车同时去一个接驳导致撞车
流山的接驳位特殊修改过进入方式，同时两个车去一个接驳位转弯的时候会撞
需要等待马鸣修改内核",临时远程恢复
飞箱异常,其它,,101111飞箱拉箱失败,"警告：トート引出す<-GRobot
AirRob: 101111 GRobot: 230201
No running position:9 目标:565.0实际:276.5",未知,肖侠驹远程处理
飞箱异常,其它,,101032飞箱拉箱失败,"拉箱<-货架(A008)01-019飞箱:101032箱位:调整位置的次数超过10次,调整拉箱位置失败",终止重试后将料箱调整位置后恢复,
飞箱异常,接驳位偏移量异常,,101044飞箱拉箱失败,拉箱<-地面车飞箱: 101044 地面车: 219244在地面车拉箱失败，箱子脱钩,终止重试尝试无效，拉箱的时候发现飞箱比接驳位高，调整接驳位的偏移量-0.005后尝试，正常拉箱,调整接驳位偏移量，终止重试，恢复
飞箱异常,其它,,101032飞箱拉箱失败,"拉箱<-货架飞箱: 101032 箱位: (A008)01-027调整位置的次数超过10次,调整拉箱位置失败",和边上的料箱放置太近导致箱子检查失败,终止重试后将这个单元的其他料箱推拉调整后恢复
客户操作,,,扫码台重量显示错误,扫码台重量显示错误，小车重量应该在11kg左右，但是只显示4kg,客户应该是误操作，重新置零了重量，导致重量不对,按住CTRL先重新置零，在用10kg砝码重新校准
硬件,机器人,其它,皮带车货物方向投递错误,皮带车货物方向投递错误,由于皮带未正确锁定而导致皮带反转，在固件341的更改是皮带机转动开始之前，确认电机是锁定状态的，不过更改是失败的，在固件342里面已经还原了341的修改点,现已更新电机342固件，后续观察使用正常
硬件,飞箱,TOF21,飞箱101032故障,"拉箱<-货架 
飞箱：101032 箱位：（A008）13-022
No running position:9 目标:2.0 实际:298.6",飞箱勾的时候没有勾到位，导致拉的时候脱钩，箱子撞击了tof21，损坏tof21,读取日志，现场替换tof21后恢复
飞箱异常,其它,,101061拉箱失败,"流山UA 警告：トート引出す<-GRobot
AirRob: 101061 GRobot: 228110
接驳位没有小车","机器人带箱在接驳位等待，飞箱toF检查不到地面车，昨天更新固件带出的问题
肖侠驹今天会跟踪，已经联系过他，先临时处理恢复
终止重试，飞箱提示丢失定位，再次重定位后恢复",临时处理解决
硬件,机器人,BMSP板,BMSP板烧坏,小车191252的电压转换芯片烧坏，需要更换BMSP板。,怀疑是充电时短路造成,告知现场帮忙检查充电桩夹头是否有短路的，另安排上门维修更换BMSP板。
软件,RCS,,地面车 230231 区域急停,"机器人:230231 发生了区域锁定,坐标:111,5,错误码:21C,描述激光雷达避障急停,检查并复位",,读取日志，重定位，点击已解决
其它,投错格口,,投错格口,3月26日收到反馈：24号（当地时间）分拣目的地出错的包裹，并且包裹没有分拣信息记录，28号反馈有一百件包裹分拣出错,"推测：1：条码识别出错。2包裹便签中多个条码信息不一致，扫描到不同的条码前往不同的格口。3，混合其他包裹前往错误的格口一起卸货
3月31号出现日志记录原因未，格口被关闭，小车到达格口多次查询格口状态无法开启后前往异常口（这个分错的问题是锁格超过5分钟，前往异常口）
5月31号ONE00021007809US出现条码分错的情况，多次进行分拣，但多次回到发货口，最后卸货在953格口中，吴勇也查询不出问题原因","决策：1.需要不断尝试扫描同一个包裹，是否出现前往不同格口的情况（比较费时间）2.拍照包裹条码，并手机上或者挡着其余条码进行多次扫描，3，排查监控
继续等待是否有其他情况出现
3，5月31号这种情况还是需要现场监控才能知道问题原因"
硬件,机器人,其它,一区供包台没有车来,一区供包台没有车来,原因是有一台电量低的机器人堵在了发货口,把车移到停车点后面的车疏通恢复运行
其它,扫码台更新,,扫码台更新,扫码台更新,扫码台更新，更新成2.1.0,扫码台更新，更新成2.1.0，S001-S002更新完成，S003-S004远程连接不上需要明天客户开启远程更新
软件,RCS,,机器人到卸货口不动作,机器人到卸货口不动作,查看WCS日志报无货架可用,询问现场3D分拣机是否有货架，巴西现场有保护机制需要插上两个货架才可以执行任务
其它,机器人爆红急停,,机器人爆红急停,机器人爆红急停,机器人识别不到RFID,排查后发现机器人识别不到RFID需要更换新的魔毯
硬件,机器人,其它,机器人急停,机器人急停,机器人急停，先恢复现场运行找到急停的位置魔毯让客户排查一下魔毯上是否有纸屑或者障碍物,机器人急停，先恢复现场运行找到急停的位置魔毯让客户排查一下魔毯上是否有纸屑或者障碍物，现场还有一些魔毯凸起的需要填平
软件,扫码台软件,,扫码台重量不显示,扫码台重量不显示,电脑上打开的扫码台IP不对,扫码台重量不显示，最后排查发现桌面上的扫码台不对，ip也不对找到实际的扫码台软件打开重新校准重量恢复
硬件,机器人,其它,机器人频繁急停,机器人频繁急停,机器人频繁急停，并且发生机器人221158 与AP连续5次通信失败，查看日志急停后就会报与AP通信失败,机器人频繁急停，并且发生机器人221158 与AP连续5次通信失败，查看日志急停后就会报与AP通信失败，需要现场寄回排查硬件
软件,WES,,WES不显示执行中的波次,WCS中波次已经分拣快结束了，WES执行中的波次却不显示，只显示该波次待启动。,由于播种墙短暂离线引起的，发生的概率很小，需要更新WES系统解决。,WES手动结束该波次，更新WES系统。
硬件,机器人,无线模块,机器人通信故障,221158机器人通信与AP5次连接失败,未找到原因，反馈研发处理,删除机器人，机器人寄回排查
硬件,其它,,称重设备,称重设备连不上，扫码台这里一直显示没有重量，可以ping通，换过设备还有连接线，配置文件也检查了,软件的一个文件问题,将文件复制一份后恢复
硬件,灯条按钮盒,,注册按钮盒,GK035、GK054两个格口的按钮盒被更换，需要注册,现场自行更换,备份原按钮盒数据后，重新注册。
软件,RCS,,101103拉箱脱钩,"流山UA 警告：トート引出す<-GRobot
AirRob: 101103 GRobot: 228128
在地面车拉箱失败，箱子脱钩",地面小车228128到达接驳位时箱子是倾斜状态，小车在旋转过程中触碰到抓钩导致箱子完全倾斜，导致拉箱失败,客户现场恢复
软件,RCS,,101076飞箱拉箱失败,トート引出す<-GRobotAirRob: 101076 GRobot: 228129拉箱距离> 255 mm,有人对地面车228129切换了手动模式，后取消，地面车将箱子上架了，飞箱工单还在,杀掉飞箱工单
客户操作,,,波次无法关闭,WES中关闭波次时，提示还有正在分拣的物品,现场因物品掉落而清除小车215207的任务，导致数据不同步。,手动完成被清空的任务数据，加强现场人员规范操作。
软件,RCS,,波次无法关闭,WES无法结束波次，提示还有一个任务在途,通过日志无法分析原因，怀疑网络丢包异常导致RCS数据推送至WES失败,在途任务由WES端处理以便关闭能波次。RCS端启用IsEnableResponse配置，以启用RCS推送失败的数据能重推至WES。
软件,RCS,,地面车 228122 区域急停,"228122 发生了区域锁定,坐标: 96,49,错误码: 220,描述激光雷达数据异常(全为0)",,手动恢复定位点击已解决
软件,RCS,,地面车 228178 区域急停,": 228178 发生了区域锁定,坐标: 100,63,错误码: 234,描述目的地无地毯定位",,手动定位点击已解决
参数配置,,,皮带小车卸货方向出错,有小车反方向卸货，不同小车随机出现，没有固定地点,json配置文件中没有开启只往右边卸货,修改配置文件并重启车服后继续观察
硬件,飞箱,其它,飞箱101084故障,跳出z轴动态平衡,未知,远程操控飞箱的操作界面恢复故障
硬件,飞箱,其它,飞箱101070故障,库位A078-10-001调整位置超过10次失败,待研发肖侠驹分析,远程操控飞箱的操作界面恢复故障
硬件,飞箱,其它,飞箱101078停机,库位A071-02-018拉箱时，仅拉了一半停机,待研发肖侠驹分析,临时远程处理恢复
硬件,飞箱,其它,飞箱101066撞墙,搬送料箱时与建筑立柱的最上边凸出部分剐蹭,物理上有干涉,先屏蔽最上层货架
硬件,飞箱,其它,飞箱101088倾斜,负荷较大时，Z轴电机发生电压差，导致Z轴不同步,负荷较大时，Z轴电机发生电压差，导致Z轴不同步,Z轴电机校验电压值，并保持同步运行，已修改程序。
客户操作,,,波次下发后没有显示,波次下发后没有显示在系统中,客户把波次误删除了,研发处理，重新拉取波次数据
客户操作,,,小车全部不动,小车卡住全部不动,分拣结束，扫码台没有点暂离岗位，全部堵在发货口不动,暂时关闭发货口，并提醒客户
硬件,飞箱,触点,101054飞箱持续掉电,101054飞箱持续掉电，移动飞箱之后正常,充电触点模块异常,联系+A售后安排更换，临时先恢复使用
客户操作,,,小车BMSP板离线,小车BMSP板离线，左右电机也离线,客户按下了急停按钮,"解除急停状态后恢复正常
"
硬件,机器人,霍尔板,小车无定位,小车放在魔毯上无定位,霍尔有问题,重新校准霍尔
硬件,其它,,发车按钮卡住,发车按钮卡住，导致客户的14个料箱都没来得及操作直接走掉。现场人员将按钮拆开已经做临时修复处理。,现场人员将按钮拆开发现1的大螺母松动，2的按钮没有牢固地卡在1里边,"周工建议：1的位置(包括防水接头处)已经让供应商打胶处理。2有可能是连带的问题，再有发生的话，也要求点胶。
临时修复处理，后续观察，已经反馈采购"
硬件,飞箱,其它,101054飞箱上升的过程中发出异响,在检查飞箱触点的时候发现，101054飞箱上升的过程中发出异响，暂时让现场临时继续使用,"暂时无法确认原因，初步怀疑，滑块、电机或者导轨问题。需要现场确认
",3月27日，对飞箱进行24V断电，之后恢复，后续观察
硬件,飞箱,触点,飞箱断电,"101054飞箱运行中断电，让现场晃动飞箱之后飞箱重新上电
恢复通电之后，飞箱无法正常勾箱子，又尝试对飞箱电机重新回零",充电触点无法正常接触，导致飞箱没电,"临时恢复
需更换现场充电触点"
硬件,飞箱,触点,101054飞箱持续掉电,飞箱持续掉电,触点接触问题，滑块组件磨损,现场+A人员进行维修
软件,扫码台软件,,去掉条码中的空格和回车符,要求扫码时去掉条码携带的空格和回车符,条码打印问题,在扫码软件配置中添加CargoBarcodeRegexReplace参数，值为[\s\r\n]
飞箱异常,TOF异常,,货架上看不到箱子,警告货架上看不到箱子,箱子有点靠里面，tof没有感应到,终止启动，警告窗点已解决
参数配置,,,白名单新增,^ONE[0-9]{11}US表达式，扫码台中添加白名单,,使用批量工具更新白名单
硬件,分拣机,输出板,输出板离线,输出板离线，指示灯慢闪，连接线插拔没有效果，电梯板版本：61日期2024.12.11,未知，具体需要研发帮忙排查，断电电梯板后重新开启后恢复正常,"断电电梯板后恢复正常
4月16号吴占宁更新新版本固件修复这个bug
原因：原来程序CAN设备注册管理流程有缺陷"
波次问题（移除、迁移、关闭）,波次重新下发关闭不了,,波次重新下发关闭不了,波次重新下发关闭不了,波次已经完成了，现场员工手动点启动,波次重新下发关闭不了，波次已经完成现场员工手动点了启动需要给波次取消
波次问题（移除、迁移、关闭）,波次关闭不了,,波次关闭不了,波次关闭不了,系统上显示有两个包裹还在机器人上,让现场手动投递包裹，然后我们在3D上完成这两个包裹任务，波次自动关闭
客户操作,,,有一台机器人频繁急停,有一台机器人频繁急停,机器人日志报魔毯方向错误,让现场员工调整魔毯方向
硬件,充电桩,,有一台充电桩充电异常,有一台充电桩充电异常,机器人充电异常，且都是同一台机器人,用砂纸打磨一下机器人充电口
硬件,机器人,其它,机器人频繁急停,机器人频繁急停,现场有一台机器人频繁急停，需要先查看轮径以及霍尔,一台机器人频繁急停，先给机器人校准轮径，后面在校准霍尔恢复
其它,电脑蓝屏,,RCS下层打不开,RCS下层打不开,RCS下层打不开，实际上电脑是蓝屏状态，重启电脑后恢复,RCS下层打不开，实际上电脑是蓝屏状态，重启电脑后恢复
波次问题（移除、迁移、关闭）,关闭波次,,波次关闭不了,波次关闭不了波次关闭不了,波次关闭不了，有两个包裹显示在小车上，需要先给完成，然后自动关闭波次,波次关闭不了，有两个包裹显示在小车上，需要先给完成，然后自动关闭波次
硬件,灯条按钮盒,,打包不了,打包不了,打开灯条系统查看，发现灯条有一段是离线的，需要查看两边的连接网口,打包不了，灯条离线了 所以打包不了，需要现场检查一下两头网线
硬件,机器人,霍尔板,221158急停,小车221158急停，报无地毯定位,霍尔异常,RCS中校准霍尔
